Id,SalePrice
1461,122762.50484000413
1462,152999.1497787142
1463,180637.9794772547
1464,195563.65925767444
1465,203413.15618642676
1466,170983.4913311213
1467,180671.45572975193
1468,160734.53471295562
1469,199172.07117299328
1470,117382.33180201011
1471,189737.9476796832
1472,99967.44998062137
1473,98138.46945494192
1474,146060.68640602942
1475,111736.42452939368
1476,364393.27365630626
1477,248896.35799456236
1478,301905.9691530467
1479,299905.85901357257
1480,463297.59418611636
1481,322148.30650015175
1482,213587.33276910416
1483,180470.81949287793
1484,161096.4696413398
1485,194661.10688047443
1486,195513.64624294813
1487,335668.7117833539
1488,236731.64859628127
1489,193426.53431764513
1490,229484.65162093122
1491,194877.76763407106
1492,95876.04867138396
1493,191972.00383221495
1494,296303.89949325874
1495,293731.84068859677
1496,230272.2597177158
1497,183452.2432819963
1498,167650.63885704114
1499,164075.39595922895
1500,156942.6183606651
1501,172772.18365550242
1502,147915.7397065875
1503,280615.7700718524
1504,240211.54927572646
1505,222212.9693646151
1506,192014.06352454447
1507,243102.56869931024
1508,204227.5766415896
1509,162090.92979791702
1510,142476.2655075612
1511,150112.50335737917
1512,173741.73708495017
1513,154944.66872559403
1514,151421.7108592084
1515,197641.61116654464
1516,155028.718614282
1517,176581.2017294318
1518,134250.97517393745
1519,210285.53420321443
1520,127249.47900643255
1521,130968.94037187455
1522,178623.50400755458
1523,113401.05567588605
1524,127696.44367658539
1525,118057.28625928269
1526,116301.08936715941
1527,112285.93701528321
1528,140003.07322729166
1529,148091.98084815915
1530,179829.54611281093
1531,109027.77850587068
1532,96466.24390423179
1533,145218.47945667352
1534,128314.14920318183
1535,147424.98178080088
1536,108874.9000828703
1537,66798.86564561233
1538,151805.44062257372
1539,203397.78207155372
1540,92818.37919749878
1541,142314.95883085873
1542,141658.2667759578
1543,178269.1834189535
1544,88241.41892119593
1545,116610.47512435818
1546,138573.7338142374
1547,124455.10269819897
1548,136784.69882100206
1549,119361.96237230676
1550,133235.1812809117
1551,106456.26642373623
1552,129281.62872797667
1553,145802.44219698876
1554,118381.79762841585
1555,163850.3870870678
1556,88303.96573526587
1557,112294.16735553714
1558,104102.19609243622
1559,66535.06061651261
1560,129344.50560692944
1561,128116.70541932857
1562,132206.0223553207
1563,118512.75857147011
1564,159989.66953811378
1565,153222.94487346886
1566,240398.54669477468
1567,81768.9621672838
1568,226603.54849461748
1569,128148.3195130636
1570,143594.6490511966
1571,130966.57767490529
1572,141397.3934451212
1573,233761.65536868188
1574,122077.40501597634
1575,221202.8682669682
1576,236443.11138637425
1577,178949.7720516756
1578,149862.4694396601
1579,144722.1045635191
1580,197027.50583925567
1581,155947.7592698077
1582,124130.8018253779
1583,278582.99591216684
1584,216042.7623825626
1585,136195.5341442226
1586,67207.31070339544
1587,106149.72528132476
1588,147716.28613602332
1589,100681.82320904305
1590,137313.01048434374
1591,93304.89678988628
1592,117051.70027422447
1593,123865.41506534944
1594,121666.42700323487
1595,113580.43898964225
1596,221132.1851528984
1597,192807.607318585
1598,234660.51838746702
1599,171777.42162132834
1600,162781.55784300776
1601,64667.68941647969
1602,120272.22398819837
1603,67174.15148850754
1604,254200.34170491056
1605,244575.21605557855
1606,169081.0439169149
1607,174644.99065488297
1608,215236.62037192387
1609,183173.07936933872
1610,152784.83185118495
1611,145974.83566025877
1612,176234.8586825865
1613,166854.33174410003
1614,123252.85169686179
1615,94982.86304448915
1616,82282.9730657972
1617,95250.29976444019
1618,125908.95813327837
1619,136335.89742752392
1620,152551.46696727443
1621,142795.44394488225
1622,141283.3298002027
1623,253783.065120478
1624,213032.9853309908
1625,119533.12828296797
1626,173542.37116856017
1627,189323.74925229125
1628,278602.9358824793
1629,187202.01526822822
1630,343224.411200005
1631,232676.34508495883
1632,251625.885281316
1633,176160.98581255073
1634,186203.66652425248
1635,174605.98105128366
1636,154506.45189251268
1637,199436.61538777448
1638,186147.00367104897
1639,192776.07137382185
1640,250448.80682511884
1641,189261.15789373728
1642,245560.53872793037
1643,215314.08738293638
1644,233990.21155042946
